Date,Open,High,Low,Close,Volume
03-01-2000,3998.25,4291.15,3998.25,4288.6,7002292
04-01-2000,4298.75,4515.15,4298.75,4488.2,14954843
05-01-2000,4495.25,4579.35,4257.75,4291.65,20942962
06-01-2000,4294.75,4377.75,4200.4,4244.3,16377169
07-01-2000,4241.85,4241.85,4020.3,4027.8,7166644
10-01-2000,4031.25,4056.75,3933.15,3959.7,13307492
11-01-2000,3986.35,4097.4,3721.3,3928.75,18670875
12-01-2000,3929.9,4109.25,3929.9,4066.1,10672420
13-01-2000,4061.2,4117.9,3973.75,3995.05,10127776
14-01-2000,3997.9,4019.4,3896.85,3937.4,10186674
17-01-2000,3967.1,4056.3,3967.1,4034,11221635
18-01-2000,4035.8,4040.4,3946.2,3959,12336920
19-01-2000,4004.25,4169.75,4004.25,4158.75,9782259
20-01-2000,4159.05,4331.25,4159.05,4252.95,14168513
21-01-2000,4253.6,4336.9,4232.65,4325.75,13758457
24-01-2000,4341.75,4441.15,4341.75,4378.95,14772185
25-01-2000,4381.9,4385.35,4278.75,4328.8,14188580
27-01-2000,4330.15,4492.55,4330.15,4364.9,12470300
28-01-2000,4362.25,4534.9,4329.6,4509.9,19714921
31-01-2000,4506.15,4540.8,4319.25,4351.9,19564683
01-02-2000,4353.3,4469.2,4353.3,4432.9,17673586
02-02-2000,4447.1,4646.05,4447.1,4574.75,18993014
03-02-2000,4592.3,4725.15,4588.25,4715.3,18022630
04-02-2000,4717.95,4857.85,4699.1,4719.55,15687310
07-02-2000,4719.55,4755.35,4614.55,4679.4,17903417
08-02-2000,4681.65,4794.45,4655.05,4679.25,19380442
09-02-2000,4688.35,4841.25,4657.25,4684.3,19645997
10-02-2000,4676.4,4778.05,4651.7,4755.85,16712905
11-02-2000,4758.3,4882.65,4758.1,4785.35,15002649
14-02-2000,4787.65,4819,4661.3,4749.35,15947381
15-02-2000,4741.8,4761.55,4584.45,4611.8,15980370
16-02-2000,4613.65,4796.3,4613.65,4734.7,13729988
17-02-2000,4736.1,4893,4736.1,4854.75,18014029
18-02-2000,4856.05,4960.1,4825.5,4850.7,16751562
21-02-2000,4876.25,5056.8,4876.25,5042.85,14854903
22-02-2000,5043.8,5231.65,5043.8,5086.95,16589944
23-02-2000,5251.3,5365.9,4886.5,4931.3,15916759
24-02-2000,4933.75,5146.8,4887.3,4992.25,13113920
25-02-2000,4996.9,5147.05,4725.9,4766.45,9050490
28-02-2000,4764.65,4879.8,4560.25,4725,11869043
29-02-2000,4726.85,4903.7,4394.3,4447.25,19583909
01-03-2000,4446.45,4703.1,4395.45,4679.15,11935555
02-03-2000,4682.35,4960.75,4682.35,4893.95,11769421
03-03-2000,4886.8,5065.65,4661,4711.65,13887179
06-03-2000,4711.65,4853.6,4711.65,4804.85,11878464
07-03-2000,4810.1,4862.15,4640.5,4661.6,13734674
08-03-2000,4671,4788,4600.8,4630.75,15123471
09-03-2000,4634.65,4764.35,4383.15,4449.2,10967687
10-03-2000,4443.9,4502.6,4187.65,4208.4,9466591
13-03-2000,4208.4,4339.5,4009.6,4038.65,10398247
14-03-2000,4038.65,4176.25,3929,4149.35,13069250
15-03-2000,4188.3,4225.25,4060.15,4150.8,13067834
16-03-2000,4151.8,4151.8,3910.35,3914.3,9502763
21-03-2000,3914.3,3915.8,3716.35,3730.9,9147831
22-03-2000,3691.2,3887.35,3617.75,3670.85,14657382
23-03-2000,3668.55,3842.5,3668.55,3738.05,10829938
24-03-2000,3748.7,3893.4,3688,3869.25,11754944
27-03-2000,3869.4,3931.5,3816.25,3879.75,10653459
28-03-2000,3880.8,3901.25,3726.1,3772.45,11860940
29-03-2000,3773.7,3880.4,3770.5,3790.1,11173025
30-03-2000,3787.25,3794.1,3603.35,3737.5,9453184
31-03-2000,3740.4,3740.4,3569.9,3695.75,11804195
03-04-2000,3720.45,3771.8,3502.4,3504.4,9872204
04-04-2000,3504.4,3504.4,3239.6,3247.25,3826266
05-04-2000,3236.2,3236.2,3092.35,3126.55,6306268
06-04-2000,3128.15,3193.55,2926.75,3131.8,11445365
07-04-2000,3132.15,3349.55,3132.15,3345.75,3124522
10-04-2000,3351.7,3552.95,3351.7,3545.05,3065104
11-04-2000,3545.05,3633.4,3346.15,3617.1,18806722
